number of cameras: 16 ,number of points: 6 ,number of observations: 52, method: LM
camera id = 10, point id = 5, error_u = -0.498753, error_v = 1.216749
camera id = 13, point id = 5, error_u = 0.234866, error_v = -0.716641
camera id = 15, point id = 5, error_u = -0.252539, error_v = 0.695024
successful step! iteration = 33, error before = 494.990829, error next = 485.894223, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.426350, error_v = 0.237235
camera id = 1, point id = 0, error_u = -0.313906, error_v = 1.557647
camera id = 2, point id = 0, error_u = -1.343796, error_v = -0.944780
camera id = 7, point id = 0, error_u = 1.149002, error_v = 2.728718
camera id = 12, point id = 0, error_u = 6.571577, error_v = -0.563596
camera id = 13, point id = 0, error_u = 0.250683, error_v = 0.613272
camera id = 0, point id = 1, error_u = -0.173480, error_v = 0.209613
camera id = 1, point id = 1, error_u = 1.268437, error_v = -0.837629
camera id = 10, point id = 1, error_u = -0.249054, error_v = 2.319099
camera id = 0, point id = 2, error_u = -0.625197, error_v = -0.518719
camera id = 1, point id = 2, error_u = 4.970527, error_v = -0.484621
camera id = 2, point id = 2, error_u = -2.134258, error_v = -2.284030
camera id = 6, point id = 2, error_u = 0.149429, error_v = -0.126314
camera id = 7, point id = 2, error_u = -3.799778, error_v = -2.803935
camera id = 9, point id = 2, error_u = -6.660386, error_v = -4.157772
camera id = 10, point id = 2, error_u = 4.666497, error_v = 3.952422
camera id = 12, point id = 2, error_u = 0.369161, error_v = 1.668901
camera id = 13, point id = 2, error_u = 0.589360, error_v = -0.385690
camera id = 15, point id = 2, error_u = 1.290184, error_v = 0.927631
camera id = 0, point id = 3, error_u = -0.578835, error_v = -0.640957
camera id = 1, point id = 3, error_u = 4.974724, error_v = -0.641529
camera id = 2, point id = 3, error_u = -2.414556, error_v = -2.276176
camera id = 6, point id = 3, error_u = -0.050273, error_v = -0.054890
camera id = 7, point id = 3, error_u = -3.915854, error_v = -2.759109
camera id = 8, point id = 3, error_u = 0.806398, error_v = 0.005811
camera id = 9, point id = 3, error_u = -7.013876, error_v = -4.111768
camera id = 10, point id = 3, error_u = 4.500900, error_v = 3.853766
camera id = 12, point id = 3, error_u = 0.322903, error_v = 1.624741
camera id = 15, point id = 3, error_u = 1.453622, error_v = 0.644975
camera id = 0, point id = 4, error_u = 0.030379, error_v = 0.992509
camera id = 1, point id = 4, error_u = 3.236994, error_v = 2.462713
camera id = 2, point id = 4, error_u = -1.399550, error_v = 0.852027
camera id = 3, point id = 4, error_u = -10.322535, error_v = -0.813564
camera id = 5, point id = 4, error_u = 0.857968, error_v = 0.431568
camera id = 6, point id = 4, error_u = -1.844255, error_v = 2.626413
camera id = 8, point id = 4, error_u = 1.061973, error_v = 0.770213
camera id = 9, point id = 4, error_u = -3.867801, error_v = -3.332890
camera id = 11, point id = 4, error_u = -0.836708, error_v = 0.424816
camera id = 13, point id = 4, error_u = 0.178993, error_v = 0.206910
camera id = 14, point id = 4, error_u = -0.923961, error_v = 0.300958
camera id = 0, point id = 5, error_u = 0.284545, error_v = -0.166799
camera id = 1, point id = 5, error_u = 2.138088, error_v = 0.589840
camera id = 3, point id = 5, error_u = -11.341440, error_v = -11.132008
camera id = 4, point id = 5, error_u = -0.300643, error_v = -0.765267
camera id = 5, point id = 5, error_u = 0.288190, error_v = -0.287042
camera id = 6, point id = 5, error_u = -2.550916, error_v = 1.244083
camera id = 7, point id = 5, error_u = -2.071410, error_v = -1.131642
camera id = 8, point id = 5, error_u = -1.619624, error_v = 0.237049
camera id = 9, point id = 5, error_u = -9.206992, error_v = -6.750347
camera id = 10, point id = 5, error_u = -0.593051, error_v = 1.129399
camera id = 13, point id = 5, error_u = 0.291846, error_v = -0.675431
camera id = 15, point id = 5, error_u = -0.235343, error_v = 0.682568
successful step! iteration = 34, error before = 485.894223, error next = 476.568282, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.421885, error_v = 0.268940
camera id = 1, point id = 0, error_u = -0.359789, error_v = 1.586463
camera id = 2, point id = 0, error_u = -1.248772, error_v = -0.783556
camera id = 7, point id = 0, error_u = 1.294280, error_v = 2.863708
camera id = 12, point id = 0, error_u = 6.468200, error_v = -0.459211
camera id = 13, point id = 0, error_u = 0.244827, error_v = 0.635167
camera id = 0, point id = 1, error_u = -0.187137, error_v = 0.218255
camera id = 1, point id = 1, error_u = 1.164636, error_v = -0.776713
camera id = 10, point id = 1, error_u = -0.475263, error_v = 2.230102
camera id = 0, point id = 2, error_u = -0.614677, error_v = -0.508924
camera id = 1, point id = 2, error_u = 4.865380, error_v = -0.431226
camera id = 2, point id = 2, error_u = -2.003995, error_v = -2.167417
camera id = 6, point id = 2, error_u = 0.157950, error_v = -0.128789
camera id = 7, point id = 2, error_u = -3.559226, error_v = -2.760177
camera id = 9, point id = 2, error_u = -6.878918, error_v = -4.139586
camera id = 10, point id = 2, error_u = 4.434738, error_v = 3.838152
camera id = 12, point id = 2, error_u = 0.436103, error_v = 1.694851
camera id = 13, point id = 2, error_u = 0.583078, error_v = -0.372919
camera id = 15, point id = 2, error_u = 1.231241, error_v = 0.872028
camera id = 0, point id = 3, error_u = -0.565346, error_v = -0.628651
camera id = 1, point id = 3, error_u = 4.875148, error_v = -0.585649
camera id = 2, point id = 3, error_u = -2.281511, error_v = -2.155743
camera id = 6, point id = 3, error_u = -0.038405, error_v = -0.053177
camera id = 7, point id = 3, error_u = -3.672686, error_v = -2.712874
camera id = 8, point id = 3, error_u = 0.854883, error_v = 0.079481
camera id = 9, point id = 3, error_u = -7.229056, error_v = -4.088840
camera id = 10, point id = 3, error_u = 4.274723, error_v = 3.746148
camera id = 12, point id = 3, error_u = 0.393142, error_v = 1.653207
camera id = 15, point id = 3, error_u = 1.399109, error_v = 0.594308
camera id = 0, point id = 4, error_u = 0.060688, error_v = 1.001071
camera id = 1, point id = 4, error_u = 3.187520, error_v = 2.479401
camera id = 2, point id = 4, error_u = -1.279216, error_v = 0.953457
camera id = 3, point id = 4, error_u = -10.316314, error_v = -0.714378
camera id = 5, point id = 4, error_u = 0.840069, error_v = 0.443164
camera id = 6, point id = 4, error_u = -1.800940, error_v = 2.628278
camera id = 8, point id = 4, error_u = 1.085526, error_v = 0.821418
camera id = 9, point id = 4, error_u = -4.018043, error_v = -3.345328
camera id = 11, point id = 4, error_u = -0.829459, error_v = 0.431128
camera id = 13, point id = 4, error_u = 0.191402, error_v = 0.217534
camera id = 14, point id = 4, error_u = -0.910211, error_v = 0.302608
camera id = 0, point id = 5, error_u = 0.335264, error_v = -0.130098
camera id = 1, point id = 5, error_u = 2.099570, error_v = 0.640822
camera id = 3, point id = 5, error_u = -11.124315, error_v = -10.948070
camera id = 4, point id = 5, error_u = -0.217559, error_v = -0.825918
camera id = 5, point id = 5, error_u = 0.305356, error_v = -0.217818
camera id = 6, point id = 5, error_u = -2.432948, error_v = 1.303962
camera id = 7, point id = 5, error_u = -1.778876, error_v = -1.009854
camera id = 8, point id = 5, error_u = -1.494467, error_v = 0.365649
camera id = 9, point id = 5, error_u = -9.335968, error_v = -6.725458
camera id = 10, point id = 5, error_u = -0.687907, error_v = 1.038054
camera id = 13, point id = 5, error_u = 0.350592, error_v = -0.632641
camera id = 15, point id = 5, error_u = -0.217652, error_v = 0.670100
successful step! iteration = 35, error before = 476.568282, error next = 467.050283, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.418011, error_v = 0.300402
camera id = 1, point id = 0, error_u = -0.408804, error_v = 1.613959
camera id = 2, point id = 0, error_u = -1.153033, error_v = -0.620906
camera id = 7, point id = 0, error_u = 1.439476, error_v = 2.999429
camera id = 12, point id = 0, error_u = 6.358720, error_v = -0.355838
camera id = 13, point id = 0, error_u = 0.237920, error_v = 0.656750
camera id = 0, point id = 1, error_u = -0.200423, error_v = 0.226480
camera id = 1, point id = 1, error_u = 1.055660, error_v = -0.715930
camera id = 10, point id = 1, error_u = -0.705009, error_v = 2.136143
camera id = 0, point id = 2, error_u = -0.603947, error_v = -0.499199
camera id = 1, point id = 2, error_u = 4.753677, error_v = -0.377888
camera id = 2, point id = 2, error_u = -1.871191, error_v = -2.048465
camera id = 6, point id = 2, error_u = 0.166827, error_v = -0.133247
camera id = 7, point id = 2, error_u = -3.315550, error_v = -2.713692
camera id = 9, point id = 2, error_u = -7.080975, error_v = -4.112356
camera id = 10, point id = 2, error_u = 4.198443, error_v = 3.718231
camera id = 12, point id = 2, error_u = 0.500728, error_v = 1.719461
camera id = 13, point id = 2, error_u = 0.575857, error_v = -0.360068
camera id = 15, point id = 2, error_u = 1.170277, error_v = 0.814850
camera id = 0, point id = 3, error_u = -0.551603, error_v = -0.616412
camera id = 1, point id = 3, error_u = 4.769110, error_v = -0.529786
camera id = 2, point id = 3, error_u = -2.145868, error_v = -2.032951
camera id = 6, point id = 3, error_u = -0.026134, error_v = -0.053405
camera id = 7, point id = 3, error_u = -3.426321, error_v = -2.663921
camera id = 8, point id = 3, error_u = 0.902679, error_v = 0.152302
camera id = 9, point id = 3, error_u = -7.427735, error_v = -4.056965
camera id = 10, point id = 3, error_u = 4.044084, error_v = 3.632976
camera id = 12, point id = 3, error_u = 0.461134, error_v = 1.680350
camera id = 15, point id = 3, error_u = 1.342643, error_v = 0.542103
camera id = 0, point id = 4, error_u = 0.091879, error_v = 1.008805
camera id = 1, point id = 4, error_u = 3.134195, error_v = 2.493518
camera id = 2, point id = 4, error_u = -1.156555, error_v = 1.055834
camera id = 3, point id = 4, error_u = -10.309537, error_v = -0.613453
camera id = 5, point id = 4, error_u = 0.822458, error_v = 0.453512
camera id = 6, point id = 4, error_u = -1.755238, error_v = 2.627402
camera id = 8, point id = 4, error_u = 1.109414, error_v = 0.871240
camera id = 9, point id = 4, error_u = -4.156913, error_v = -3.349566
camera id = 11, point id = 4, error_u = -0.819891, error_v = 0.436289
camera id = 13, point id = 4, error_u = 0.203871, error_v = 0.227454
camera id = 14, point id = 4, error_u = -0.893875, error_v = 0.303233
camera id = 0, point id = 5, error_u = 0.387588, error_v = -0.092496
camera id = 1, point id = 5, error_u = 2.057704, error_v = 0.691885
camera id = 3, point id = 5, error_u = -10.900856, error_v = -10.757790
camera id = 4, point id = 5, error_u = -0.132784, error_v = -0.887426
camera id = 5, point id = 5, error_u = 0.324939, error_v = -0.147218
camera id = 6, point id = 5, error_u = -2.309738, error_v = 1.364555
camera id = 7, point id = 5, error_u = -1.481822, error_v = -0.884295
camera id = 8, point id = 5, error_u = -1.366522, error_v = 0.495992
camera id = 9, point id = 5, error_u = -9.444721, error_v = -6.680160
camera id = 10, point id = 5, error_u = -0.783099, error_v = 0.942909
camera id = 13, point id = 5, error_u = 0.410999, error_v = -0.588369
camera id = 15, point id = 5, error_u = -0.199479, error_v = 0.657628
successful step! iteration = 36, error before = 467.050283, error next = 457.379736, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.414735, error_v = 0.331518
camera id = 1, point id = 0, error_u = -0.460860, error_v = 1.640036
camera id = 2, point id = 0, error_u = -1.056698, error_v = -0.457189
camera id = 7, point id = 0, error_u = 1.584323, error_v = 3.135524
camera id = 12, point id = 0, error_u = 6.243257, error_v = -0.253724
camera id = 13, point id = 0, error_u = 0.229953, error_v = 0.677926
camera id = 0, point id = 1, error_u = -0.213214, error_v = 0.234282
camera id = 1, point id = 1, error_u = 0.941805, error_v = -0.655414
camera id = 10, point id = 1, error_u = -0.937729, error_v = 2.037441
camera id = 0, point id = 2, error_u = -0.593020, error_v = -0.489558
camera id = 1, point id = 2, error_u = 4.635629, error_v = -0.324713
camera id = 2, point id = 2, error_u = -1.736044, error_v = -1.927379
camera id = 6, point id = 2, error_u = 0.176004, error_v = -0.139679
camera id = 7, point id = 2, error_u = -3.069145, error_v = -2.664562
camera id = 9, point id = 2, error_u = -7.266287, error_v = -4.076164
camera id = 10, point id = 2, error_u = 3.958089, error_v = 3.592909
camera id = 12, point id = 2, error_u = 0.562972, error_v = 1.742638
camera id = 13, point id = 2, error_u = 0.567692, error_v = -0.347177
camera id = 15, point id = 2, error_u = 1.107408, error_v = 0.756202
camera id = 0, point id = 3, error_u = -0.537628, error_v = -0.604259
camera id = 1, point id = 3, error_u = 4.656805, error_v = -0.474050
camera id = 2, point id = 3, error_u = -2.007833, error_v = -1.908014
camera id = 6, point id = 3, error_u = -0.013524, error_v = -0.055574
camera id = 7, point id = 3, error_u = -3.177166, error_v = -2.612338
camera id = 8, point id = 3, error_u = 0.949632, error_v = 0.224077
camera id = 9, point id = 3, error_u = -7.609653, error_v = -4.016232
camera id = 10, point id = 3, error_u = 3.809440, error_v = 3.514486
camera id = 12, point id = 3, error_u = 0.526805, error_v = 1.706069
camera id = 15, point id = 3, error_u = 1.284326, error_v = 0.488454
camera id = 0, point id = 4, error_u = 0.123913, error_v = 1.015672
camera id = 1, point id = 4, error_u = 3.077127, error_v = 2.504994
camera id = 2, point id = 4, error_u = -1.031730, error_v = 1.158945
camera id = 3, point id = 4, error_u = -10.302175, error_v = -0.510920
camera id = 5, point id = 4, error_u = 0.805133, error_v = 0.462528
camera id = 6, point id = 4, error_u = -1.707252, error_v = 2.623738
camera id = 8, point id = 4, error_u = 1.133578, error_v = 0.919513
camera id = 9, point id = 4, error_u = -4.284181, error_v = -3.345644
camera id = 11, point id = 4, error_u = -0.808042, error_v = 0.440269
camera id = 13, point id = 4, error_u = 0.216380, error_v = 0.236614
camera id = 14, point id = 4, error_u = -0.875009, error_v = 0.302801
camera id = 0, point id = 5, error_u = 0.441440, error_v = -0.054071
camera id = 1, point id = 5, error_u = 2.012582, error_v = 0.742915
camera id = 3, point id = 5, error_u = -10.671219, error_v = -10.561371
camera id = 4, point id = 5, error_u = -0.046390, error_v = -0.949570
camera id = 5, point id = 5, error_u = 0.346825, error_v = -0.075397
camera id = 6, point id = 5, error_u = -2.181499, error_v = 1.425725
camera id = 7, point id = 5, error_u = -1.180697, error_v = -0.755249
camera id = 8, point id = 5, error_u = -1.236044, error_v = 0.627768
camera id = 9, point id = 5, error_u = -9.533104, error_v = -6.614593
camera id = 10, point id = 5, error_u = -0.878403, error_v = 0.844168
camera id = 13, point id = 5, error_u = 0.472957, error_v = -0.542718
camera id = 15, point id = 5, error_u = -0.180840, error_v = 0.645161
successful step! iteration = 37, error before = 457.379736, error next = 447.598124, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.412065, error_v = 0.362182
camera id = 1, point id = 0, error_u = -0.515863, error_v = 1.664594
camera id = 2, point id = 0, error_u = -0.959887, error_v = -0.292764
camera id = 7, point id = 0, error_u = 1.728553, error_v = 3.271631
camera id = 12, point id = 0, error_u = 6.121940, error_v = -0.153116
